
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.719035244045206,5.93371,3.586,11.7
1,6.365597556980593,4.99202125,10.062,26.35
2,6.023474056769089,4.20942125,19.702,42.322
3,5.7096542645101005,3.58967125,29.094,54.618
4,5.447306063354093,3.09549875,37.138,63.77
5,5.2298867083867835,2.7623725,42.012,68.538
6,5.066998933909692,2.56730375,46.588,72.922
7,4.947290633915545,2.40660625,49.034,74.738
8,4.86576723702269,2.29076625,51.642,76.902
9,4.805354279277922,2.253951875,51.894,77.504
10,4.749885790330664,2.1529475,53.384,78.598
11,4.723647253295856,2.206569375,53.984,79.102
12,4.678225860596656,2.124005,54.976,79.806
13,4.654580412216865,2.045674375,55.776,80.554
14,4.641007738926156,2.123490625,54.662,79.976
15,4.624249278730845,2.09772875,55.698,80.67
16,4.626222296115556,2.049793125,55.62,80.624
17,4.625676920630975,1.989780625,56.266,80.802
18,4.620505089978498,2.1351125,55.01,80.568
19,4.6277383397611445,2.183699375,55.166,80.89
20,4.59102752437624,2.144966875,56.296,81.264
21,4.585143959597282,2.025678125,56.854,81.53
22,4.562978131250135,1.939753125,57.348,81.964
23,4.549310212107207,2.060615625,57.286,81.874
24,4.536232830249223,1.96248,57.846,82.18
25,4.531074705651762,1.98247375,57.84,82.422
26,4.5165782318997545,2.00672375,58.116,82.638
27,4.504767527100518,2.027728125,58.362,82.694
28,4.500643195966846,1.977365625,58.298,82.73
29,4.491286919731302,1.988581875,57.498,82.03
30,4.480521670754157,1.92293875,58.534,83.088
31,4.487922149314808,1.994343125,58.434,83.104
32,4.479360284690007,1.940331875,58.32,83.166
33,4.47190503838751,1.904879375,59.32,83.51
34,4.471010021854202,1.945040625,59.282,83.388
35,4.466114098190344,2.022034375,58.336,82.988
36,4.464129757221339,1.950154375,58.738,83.278
37,4.456112467214794,1.984833125,59.352,83.672
38,4.449740376002258,2.0717925,58.596,83.526
39,4.453155870977869,1.845185,60.268,84.016
40,4.44053193874704,1.955386875,60.012,83.7
41,4.433940922633932,1.866730625,59.726,83.926
42,4.423704379992905,1.987510625,59.896,84.026
43,4.42892217669457,1.91302875,59.834,83.772
44,4.430086286957179,1.80874,60.47,84.228
45,4.432041696097208,1.928743125,60.454,84.538
46,4.425622057040525,1.81391,60.224,84.292
47,4.423007498040925,2.012045,59.984,84.292
48,4.412271134157092,1.90357125,60.116,84.128
49,4.409324319060835,1.879299375,60.188,83.956
50,4.40691160038523,2.02950625,59.866,83.816
51,4.4030200608520556,1.860965625,60.158,84.166
52,4.397082354927387,1.81865,60.188,84.438
53,4.40270284203838,1.9704075,60.238,84.294
54,4.3958791584767996,1.801465,60.972,84.63
55,4.383111236407237,1.889869375,60.154,84.268
56,4.398575875508772,1.924079375,60.566,84.428
57,4.383755496980093,1.850745,61.028,84.778
58,4.38746251334843,1.83276625,60.426,84.53
59,4.375650938341627,1.882649375,60.816,84.578
60,4.379519013618182,1.875948125,61.018,84.484
61,4.375718961217947,1.75430375,61.522,85.08
62,4.370310925975262,1.84855625,60.942,84.892
63,4.369855867469331,1.92919125,59.934,84.134
64,4.372570431378948,1.893638125,61.01,84.906
65,4.37168518924513,1.80142,61.19,84.86
66,4.364732786329705,1.8456325,61.024,84.986
67,4.358879008485144,1.940016875,61.066,85.09
68,4.360608284784752,1.828885625,61.596,85.158
69,4.357649646923489,1.887215625,61.266,84.816
70,4.351261214617309,1.77690375,61.572,85.476
71,4.353415221479082,1.75862625,61.606,85.212
72,4.348757038417546,1.7451325,61.83,85.144
73,4.3373291945050125,1.849285,61.768,85.44
74,4.336472467676316,1.761546875,62.43,85.538
75,4.334370693587342,1.844990625,61.636,85.222
76,4.33379022781398,1.9617725,61.08,84.872
