epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.688030832618228,5.6926125,4.838,14.582
1,6.283071231575252,4.6760175,14.384,33.672
2,5.9015679039766,3.79704875,25.91,50.248
3,5.5893175092440455,3.28552375,33.398,59.188
4,5.349775079247334,2.8986225,40.142,66.69
5,5.179892367184704,2.67081375,44.552,70.594
6,5.063297144051067,2.5687475,47.044,72.908
7,4.968646268766474,2.44331375,48.132,74.244
8,4.87283551086733,2.316761875,50.602,76.438
9,4.830467117762921,2.294136875,52.502,77.896
10,4.773884143156657,2.258028125,53.6,78.482
11,4.750725437275405,2.20473375,53.88,79.104
12,4.7193379801152675,2.144206875,53.832,79.254
13,4.6989066379269655,2.096128125,54.87,80.038
14,4.693325611079819,2.127751875,54.77,79.968
15,4.683301001021955,2.148319375,55.206,80.388
16,4.669629325732352,2.041009375,55.498,80.438
17,4.6746190866041,2.2090375,54.888,79.68
18,4.674280164863266,2.08525375,55.362,80.368
19,4.681688152501509,2.118378125,55.092,79.936
20,4.6611991895520735,2.082336875,55.396,80.352
21,4.639758608441024,2.063018125,57.036,81.552
22,4.617499714762863,2.05012125,56.438,81.248
23,4.59964560307112,2.038596875,56.798,81.592
24,4.601579179367422,2.079755,56.91,81.782
25,4.581381618303666,2.002083125,57.494,81.942
26,4.581331645850476,1.997660625,56.914,81.842
27,4.569526910448374,2.06800375,57.5,81.818
28,4.567229670236752,2.074238125,56.982,81.926
29,4.565041981087375,2.032445,57.19,81.756
30,4.552914477261717,2.020013125,57.652,82.202
31,4.549759453023537,2.003285625,58.184,82.664
32,4.541007634130603,1.984800625,57.754,82.546
33,4.534511316238268,1.919163125,58.168,82.79
34,4.533365872037531,1.997305,58.726,83.106
35,4.521740696696757,2.006349375,58.144,82.92
36,4.515988633044057,1.963235,59.01,83.028
37,4.513977761249083,2.02780875,58.316,82.498
38,4.5151534151728425,1.963925625,57.42,82.544
39,4.512846666683457,1.987790625,58.644,82.714
40,4.504682092021569,1.991246875,58.666,83.066
41,4.508381248961582,2.05404875,58.982,82.968
42,4.499767872655721,1.999161875,58.506,83.07
43,4.489725898083708,1.958049375,58.878,83.152
44,4.493816300340794,1.954015625,58.878,83.086
45,4.480209709678762,1.938725625,59.274,83.372
46,4.4832273501713376,2.05239,58.92,83.084
47,4.476112553379921,1.980309375,59.812,83.964
48,4.476360670228452,2.007328125,59.24,83.18
49,4.478868883798763,1.9496525,59.134,83.242
50,4.473802714834252,1.933360625,59.722,83.636
51,4.458135907115702,1.948255625,59.354,83.474
52,4.462701503160248,1.9766425,59.992,83.728
53,4.465039383008509,1.98025875,60.052,83.664
54,4.458920086617593,1.8639,59.862,83.824
55,4.457448678841326,1.861,59.598,83.748
56,4.463666066314472,1.925439375,60.252,83.898
57,4.451493574196386,1.880698125,60.472,83.854
58,4.4515424708479685,2.016906875,59.998,83.89
59,4.45431812069897,1.898741875,59.706,83.622
60,4.4391905201197215,1.9196925,60.382,84.154
61,4.444878887065415,2.054024375,60.02,83.864
62,4.437025745022915,1.94501625,60.11,83.916
63,4.437345544350279,1.942543125,61.158,84.456
64,4.432161073820946,1.966875625,60.224,83.928
