epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.713608795642043,5.84607625,4.288,13.276
1,6.309485469310836,4.84191,13.03,31.308
2,5.939540224030535,4.04406625,22.418,46.368
3,5.633851875469442,3.41705375,31.934,58.324
4,5.4101086515851025,3.0319925,38.04,64.736
5,5.232461075049583,2.7593075,42.362,69.438
6,5.104947218779191,2.6332625,45.14,71.862
7,5.010827212772451,2.540163125,47.67,74.092
8,4.921077724531679,2.37226125,50.01,76.14
9,4.871686787357077,2.3178,51.214,77.404
10,4.799000598939104,2.27091375,52.514,78.326
11,4.767464209703409,2.2289525,53.358,79.226
12,4.729876734181615,2.2277125,53.592,79.26
13,4.693475606498905,2.16763375,53.97,79.69
14,4.677139189207824,2.096775625,55.102,80.236
15,4.6627359925980025,2.047479375,55.644,80.956
16,4.651265099351372,2.067023125,55.688,80.766
17,4.6394831233120355,2.06053625,55.202,80.802
18,4.629674408268841,2.13261625,56.01,81.034
19,4.633192710412443,2.1606175,55.1,80.536
20,4.614122931327671,2.155386875,55.594,81.22
21,4.596354467335942,2.067670625,57.394,82.064
22,4.5723070466848315,1.989313125,56.91,81.812
23,4.548798826455665,2.054838125,57.186,82.248
24,4.547635736302523,2.079384375,57.386,82.376
25,4.531735865621255,2.04873625,58.154,82.736
26,4.512858387806733,2.029113125,58.342,82.668
27,4.506637420910605,2.0335475,58.926,83.214
28,4.499978318463578,2.002843125,57.83,82.746
29,4.490034551169801,2.082773125,58.176,82.576
30,4.486123099004559,2.014339375,58.332,82.75
31,4.482409365277915,1.94832,58.622,83.274
32,4.473705377453916,2.01256875,59.15,83.426
